STT,Trạm,Thời điểm,Chỉ tiêu,Thời gian,Giá trị,Đơn vị,Giới hạn
1,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 1","12:00 - 02/02/2026","Nhiệt Độ","12:00","23.21","oC","0 - 42"
1,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 1","12:00 - 02/02/2026","Mực Nước","12:00","30.92","m","0 - 34"
1,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 1","12:00 - 02/02/2026","Lưu Lượng","12:00","95.16","m3/h",""
1,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 1","12:00 - 02/02/2026","Tổng Lưu Lượng","12:00","3,568,261.25","m3",""
2,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 3","11:00 - 02/02/2026","Nhiệt Độ","11:00","27.00","oC","0 - 42"
2,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 3","11:00 - 02/02/2026","Mực Nước","11:00","28.73","m","0 - 34"
2,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 3","11:00 - 02/02/2026","Lưu Lượng","11:00","90.11","m3/h",""
2,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 3","11:00 - 02/02/2026","Tổng Lưu Lượng","11:00","3,799,384.50","m3",""
3,"TRẠM BƠM 22","11:00 - 02/02/2026","Nhiệt Độ","11:00","37.33","oC","0 - 42"
3,"TRẠM BƠM 22","11:00 - 02/02/2026","Mực Nước","11:00","28.06","m","0 - 34"
3,"TRẠM BƠM 22","11:00 - 02/02/2026","Lưu Lượng","11:00","113.40","m3/h",""
3,"TRẠM BƠM 22","11:00 - 02/02/2026","Tổng Lưu Lượng","11:00","4,173,761.50","m3",""
4,"TRẠM BƠM 26","11:00 - 02/02/2026","Nhiệt Độ","11:00","34.04","oC","0 - 42"
4,"TRẠM BƠM 26","11:00 - 02/02/2026","Mực Nước","11:00","32.19","m","0 - 34"
4,"TRẠM BƠM 26","11:00 - 02/02/2026","Lưu Lượng","11:00","81.95","m3/h",""
4,"TRẠM BƠM 26","11:00 - 02/02/2026","Tổng Lưu Lượng","11:00","537,075.44","m3",""
5,"TRẠM BƠM 4","11:00 - 02/02/2026","Nhiệt Độ","11:00","0.00","oC","0 - 42"
5,"TRẠM BƠM 4","11:00 - 02/02/2026","Mực Nước","11:00","30.75","m","0 - 34"
5,"TRẠM BƠM 4","11:00 - 02/02/2026","Lưu Lượng","11:00","88.68","m3/h",""
5,"TRẠM BƠM 4","11:00 - 02/02/2026","Tổng Lưu Lượng","11:00","4,107,074.50","m3",""
6,"TRẠM BƠM 16","12:00 - 02/02/2026","Nhiệt Độ","12:00","0.00","oC","0 - 42"
6,"TRẠM BƠM 16","12:00 - 02/02/2026","Mực Nước","12:00","29.06","m","0 - 34"
6,"TRẠM BƠM 16","12:00 - 02/02/2026","Lưu Lượng","12:00","52.23","m3/h",""
6,"TRẠM BƠM 16","12:00 - 02/02/2026","Tổng Lưu Lượng","12:00","2,661,943.00","m3",""
7,"TRẠM BƠM 20","11:00 - 02/02/2026","Nhiệt Độ","11:00","37.70","oC","0 - 42"
7,"TRẠM BƠM 20","11:00 - 02/02/2026","Mực Nước","11:00","30.62","m","0 - 34"
7,"TRẠM BƠM 20","11:00 - 02/02/2026","Lưu Lượng","11:00","81.52","m3/h",""
7,"TRẠM BƠM 20","11:00 - 02/02/2026","Tổng Lưu Lượng","11:00","3,220,178.00","m3",""
8,"TRẠM BƠM 23","11:00 - 02/02/2026","Nhiệt Độ","11:00","36.45","oC","0 - 42"
8,"TRẠM BƠM 23","11:00 - 02/02/2026","Mực Nước","11:00","29.40","m","0 - 34"
8,"TRẠM BƠM 23","11:00 - 02/02/2026","Lưu Lượng","11:00","81.12","m3/h",""
8,"TRẠM BƠM 23","11:00 - 02/02/2026","Tổng Lưu Lượng","11:00","3,626,953.50","m3",""
9,"TRẠM BƠM 12","11:00 - 02/02/2026","Nhiệt Độ","11:00","38.50","oC","0 - 42"
9,"TRẠM BƠM 12","11:00 - 02/02/2026","Mực Nước","11:00","32.57","m","0 - 34"
9,"TRẠM BƠM 12","11:00 - 02/02/2026","Lưu Lượng","11:00","86.90","m3/h",""
9,"TRẠM BƠM 12","11:00 - 02/02/2026","Tổng Lưu Lượng","11:00","125,402.00","m3",""
10,"TRẠM BƠM 21","11:00 - 02/02/2026","Nhiệt Độ","11:00","37.90","oC","0 - 42"
10,"TRẠM BƠM 21","11:00 - 02/02/2026","Mực Nước","11:00","29.53","m","0 - 34"
10,"TRẠM BƠM 21","11:00 - 02/02/2026","Lưu Lượng","11:00","86.64","m3/h",""
10,"TRẠM BƠM 21","11:00 - 02/02/2026","Tổng Lưu Lượng","11:00","3,452,006.25","m3",""
11,"QT3 (182/GP-BTNMT)","11:00 - 02/02/2026","Nhiệt Độ","11:00","0.00","oC","0 - 42"
11,"QT3 (182/GP-BTNMT)","11:00 - 02/02/2026","Mực Nước","11:00","25.58","m","0 - 34"
12,"QT1-NM1 (2186/GP-BTNMT)","12:00 - 02/02/2026","Nhiệt Độ","12:00","25.00","oC","0 - 42"
12,"QT1-NM1 (2186/GP-BTNMT)","12:00 - 02/02/2026","Mực Nước","12:00","27.20","m","0 - 34"
13,"QT2-NM1 (2186/GP-BTNMT)","12:00 - 02/02/2026","Nhiệt Độ","12:00","25.00","oC","0 - 42"
13,"QT2-NM1 (2186/GP-BTNMT)","12:00 - 02/02/2026","Mực Nước","12:00","27.05","m","0 - 34"
14,"TRẠM BƠM 2","11:00 - 02/02/2026","Nhiệt Độ","11:00","22.30","oC","0 - 42"
14,"TRẠM BƠM 2","11:00 - 02/02/2026","Mực Nước","11:00","30.48","m","0 - 34"
14,"TRẠM BƠM 2","11:00 - 02/02/2026","Lưu Lượng","11:00","0.00","m3/h",""
14,"TRẠM BƠM 2","11:00 - 02/02/2026","Tổng Lưu Lượng","11:00","0.00","m3",""
15,"TRẠM BƠM 27","11:00 - 02/02/2026","Nhiệt Độ","11:00","22.54","oC","0 - 42"
15,"TRẠM BƠM 27","11:00 - 02/02/2026","Mực Nước","11:00","26.12","m","0 - 34"
15,"TRẠM BƠM 27","11:00 - 02/02/2026","Lưu Lượng","11:00","0.00","m3/h",""
15,"TRẠM BƠM 27","11:00 - 02/02/2026","Tổng Lưu Lượng","11:00","0.00","m3",""
16,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 3","11:00 - 02/02/2026","Nhiệt Độ","11:00","22.69","oC","0 - 42"
16,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 3","11:00 - 02/02/2026","Mực Nước","11:00","31.61","m","0 - 34"
16,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 3","11:00 - 02/02/2026","Lưu Lượng","11:00","0.00","m3/h",""
16,"NHÀ MÁY SỐ 1 - GIẾNG SỐ 3","11:00 - 02/02/2026","Tổng Lưu Lượng","11:00","0.00","m3",""
17,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 2","11:00 - 02/02/2026","Nhiệt Độ","11:00","0.00","oC","0 - 42"
17,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 2","11:00 - 02/02/2026","Mực Nước","11:00","30.97","m","0 - 34"
17,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 2","11:00 - 02/02/2026","Lưu Lượng","11:00","0.00","m3/h",""
17,"NHÀ MÁY SỐ 2 - GIẾNG SỐ 2","11:00 - 02/02/2026","Tổng Lưu Lượng","11:00","0.00","m3",""
18,"TRẠM BƠM 24","12:00 - 02/02/2026","Nhiệt Độ","12:00","31.23","oC","0 - 42"
18,"TRẠM BƠM 24","12:00 - 02/02/2026","Mực Nước","12:00","27.10","m","0 - 34"
18,"TRẠM BƠM 24","12:00 - 02/02/2026","Lưu Lượng","12:00","83.54","m3/h",""
18,"TRẠM BƠM 24","12:00 - 02/02/2026","Tổng Lưu Lượng","12:00","812,870.81","m3",""
19,"TRẠM BƠM 25","12:00 - 02/02/2026","Nhiệt Độ","12:00","0.00","oC","0 - 42"
19,"TRẠM BƠM 25","12:00 - 02/02/2026","Mực Nước","12:00","33.24","m","0 - 34"
19,"TRẠM BƠM 25","12:00 - 02/02/2026","Lưu Lượng","12:00","76.42","m3/h",""
19,"TRẠM BƠM 25","12:00 - 02/02/2026","Tổng Lưu Lượng","12:00","821,770.88","m3",""
